Ticker,Origin,Company,Sector,Group,Category,Loss,Income Drop
AGFS,USA,AgroFresh Solutions Inc,Conglomerates,Conglomerates,Conglomerates,3.0,2.0
AGEN,USA,Agenus Inc,Healthcare,Biotechnology,Drugs,10.0,6.0
AGCO,USA,AGCO Corp,Industrial Goods,Farm & Construction Machinery,Manufacturing,0.0,5.0
AFSI,USA,AmTrust Financial Services Inc,Financial,Property & Casualty Insurance,Insurance,1.0,3.0
AFL,USA,Aflac Inc,Financial,Accident & Health Insurance,Insurance,0.0,5.0
AFI,USA,Armstrong Flooring Inc,Industrial Goods,General Building Materials,Materials & Construction,3.0,3.0
AFFX,USA,Affymetrix Inc,Healthcare,Medical Laboratories & Research,Health Services,5.0,2.0
AFH,Cayman Islands,Atlas Financial Holdings Inc,Financial,Property & Casualty Insurance,Insurance,3.0,3.0
AFG,USA,American Financial Group Inc,Financial,Property & Casualty Insurance,Insurance,0.0,4.0
AFCO,USA,American Farmland Co,Financial,REIT - Diversified,Real Estate,2.0,2.0
AES,USA,AES Corp,Utilities,Electric Utilities,Utilities,3.0,5.0
AEY,USA,ADDvantage Technologies Group Inc,Services,Electronics Wholesale,Wholesale,4.0,5.0
AEP,USA,American Electric Power Company Inc,Utilities,Electric Utilities,Utilities,0.0,5.0
AEPI,USA,AEP Industries Inc,Consumer Goods,Packaging & Containers,Consumer NonDurables,1.0,3.0
AEO,USA,American Eagle Outfitters Inc,Services,Apparel Stores,Retail,0.0,5.0
AEMD,USA,Aethlon Medical Inc,Healthcare,Medical Appliances & Equipment,Health Services,9.0,4.0
AEL,USA,American Equity Investment Life Holding Co,Financial,Life Insurance,Insurance,0.0,4.0
AEIS,USA,Advanced Energy Industries Inc,Technology,Diversified Electronics,Electronics,1.0,3.0
AEGR,USA,Aegerion Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,7.0,5.0
AEGN,USA,Aegion Corp,Industrial Goods,Heavy Construction,Materials & Construction,5.0,5.0
AEHR,USA,AEHR Test Systems,Technology,Semiconductor Equipment & Materials,Electronics,7.0,4.0
AEE,USA,Ameren Corp,Utilities,Electric Utilities,Utilities,1.0,3.0
AE,USA,Adams Resources & Energy Inc,Basic Materials,Oil & Gas Refining & Marketing,Energy,3.0,5.0
ADXS,USA,Advaxis Inc,Healthcare,Biotechnology,Drugs,10.0,7.0
ADVM,USA,Adverum Biotechnologies Inc,Healthcare,Biotechnology,Drugs,7.0,4.0
ADTN,USA,ADTRAN Inc,Technology,Communication Equipment,Telecommunications,2.0,6.0
ADUS,USA,Addus Homecare Corp,Healthcare,Home Health Care,Health Services,1.0,2.0
ADT,USA,ADT Inc,Services,Security & Protection Services,Diversified Services,4.0,7.0
ADSK,USA,Autodesk Inc,Technology,Technical & System Software,Computer Software & Services,4.0,6.0
ADS,USA,Alliance Data Systems Corp,Services,Business Services,Diversified Services,0.0,3.0
ADRO,USA,Aduro Biotech Inc,Healthcare,Biotechnology,Drugs,7.0,3.0
ADP,USA,Automatic Data Processing Inc,Technology,Business Software & Services,Computer Software & Services,0.0,2.0
ADMA,USA,ADMA Biologics Inc,Healthcare,Biotechnology,Drugs,10.0,8.0
ADMP,USA,Adamis Pharmaceuticals Corp,Healthcare,Drug Delivery,Drugs,10.0,7.0
ADMS,USA,Adamas Pharmaceuticals Inc,Healthcare,Drugs - Generic,Drugs,6.0,5.0
ADM,USA,Archer Daniels Midland Co,Consumer Goods,Farm Products,Food & Beverage,0.0,5.0
ADI,USA,Analog Devices Inc,Technology,Semiconductor - Integrated Circuits,Electronics,0.0,5.0
ADGE,USA,American DG Energy Inc,Industrial Goods,Diversified Machinery,Manufacturing,9.0,4.0
ADES,USA,Advanced Emissions Solutions Inc,Industrial Goods,Pollution & Treatment Controls,Manufacturing,2.0,3.0
ADEP,USA,Adept Technology Inc,Technology,Semiconductor Equipment & Materials,Electronics,5.0,2.0
ADBE,USA,Adobe Systems Inc,Technology,Application Software,Computer Software & Services,0.0,2.0
ACY,USA,AeroCentury Corp,Services,Rental & Leasing Services,Diversified Services,4.0,5.0
ADAP,United Kingdom,Adaptimmune Therapeutics PLC,Healthcare,Biotechnology,Drugs,5.0,3.0
ACW,USA,Accuride Corp,Consumer Goods,Auto Parts,Automotive,6.0,4.0
ACUR,USA,Acura Pharmaceuticals Inc,Healthcare,Drug Delivery,Drugs,9.0,4.0
ACU,USA,Acme United Corp,Consumer Goods,Housewares & Accessories,Consumer Durables,0.0,1.0
ACTG,USA,Acacia Research Corp,Services,Business Services,Diversified Services,6.0,5.0
ACRX,USA,AcelRx Pharmaceuticals Inc,Healthcare,Medical Appliances & Equipment,Health Services,10.0,6.0
ACRE,USA,Ares Commercial Real Estate Corp,Financial,REIT - Diversified,Real Estate,1.0,2.0
ACRS,USA,Aclaris Therapeutics Inc,Healthcare,Biotechnology,Drugs,6.0,5.0
ACN,Ireland,Accenture PLC,Technology,Information Technology Services,Computer Software & Services,0.0,2.0
ACNB,USA,ACNB Corp,Financial,Regional - Southwest  Banks,Banking,0.0,2.0
ACOR,USA,Acorda Therapeutics Inc,Healthcare,Biotechnology,Drugs,5.0,5.0
ACM,USA,AECOM,Services,Technical Services,Diversified Services,4.0,6.0
ACLS,USA,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,Electronics,4.0,4.0
ACHV,USA,Achieve Life Sciences Inc,Healthcare,Biotechnology,Drugs,10.0,5.0
ACIW,USA,ACI Worldwide Inc,Technology,Technical & System Software,Computer Software & Services,0.0,2.0
ACIA,USA,Acacia Communications Inc,Technology,Communication Equipment,Telecommunications,0.0,2.0
ACHN,USA,Achillion Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10.0,7.0
ACHC,USA,Acadia Healthcare Company Inc,Healthcare,Specialized Health Services,Health Services,1.0,3.0
ACFC,USA,Atlantic Coast Financial Corp,Financial,Regional - Southeast Banks,Banking,4.0,4.0
ACGL,Bermuda,Arch Capital Group Ltd,Financial,Property & Casualty Insurance,Insurance,0.0,3.0
ACCO,USA,ACCO Brands Corp,Consumer Goods,Office Supplies,Consumer NonDurables,0.0,3.0
ACER,USA,Acer Therapeutics Inc,Healthcare,Biotechnology,Drugs,10.0,6.0
ACAT,USA,Arctic Cat Inc,Consumer Goods,Recreational Vehicles,Automotive,2.0,3.0
ABUS,Canada,Arbutus Biopharma Corp,Healthcare,Biotechnology,Drugs,7.0,4.0
ACBI,USA,Atlantic Capital Bancshares Inc,Financial,Regional - Mid-Atlantic Banks,Banking,2.0,2.0
ACAD,USA,ACADIA Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10.0,6.0
ABM,USA,ABM Industries Inc,Services,Business Services,Diversified Services,0.0,3.0
ABMD,USA,Abiomed Inc,Healthcare,Medical Appliances & Equipment,Health Services,1.0,3.0
ABTX,USA,Allegiance Bancshares Inc,Financial,Regional - Mid-Atlantic Banks,Banking,0.0,2.0
ABT,USA,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,Health Services,0.0,6.0
ABEO,USA,Abeona Therapeutics Inc,Healthcare,Biotechnology,Drugs,10.0,7.0
ABCB,USA,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,Banking,1.0,1.0
ABG,USA,Asbury Automotive Group Inc,Services,Auto Dealerships,Specialty Retail,0.0,2.0
AB,USA,AllianceBernstein Holding LP,Financial,Asset Management,Financial Services,0.0,3.0
ABBV,USA,AbbVie Inc,Healthcare,Drug Manufacturers - Major,Drugs,0.0,3.0
ABC,USA,AmerisourceBergen Corp,Services,Drugs Wholesale,Wholesale,1.0,5.0
AAXN,USA,Axon Enterprise Inc,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,2.0,4.0
AAWW,USA,Atlas Air Worldwide Holdings Inc,Services,"Air Services,Other",Transportation,2.0,3.0
AAN,USA,Aarons Inc,Services,Rental & Leasing Services,Diversified Services,1.0,6.0
AAON,USA,AAON Inc,Industrial Goods,General Building Materials,Materials & Construction,0.0,1.0
AAP,USA,Advance Auto Parts Inc,Services,Auto Parts Stores,Retail,0.0,4.0
AAME,USA,Atlantic American Corp,Financial,Life Insurance,Insurance,2.0,4.0
AAPL,USA,Apple Inc,Consumer Goods,Electronic Equipment,Consumer Durables,0.0,3.0
A,USA,Agilent Technologies Inc,Healthcare,Medical Laboratories & Research,Health Services,1.0,6.0
AA,USA,Alcoa Corp,Basic Materials,Aluminum,Metals & Mining,3.0,1.0
AAC,USA,AAC Holdings Inc,Healthcare,Specialized Health Services,Health Services,4.0,3.0
AAL,USA,American Airlines Group Inc,Services,Major Airlines,Transportation,6.0,4.0
AAMC,Virgin Islands US,Altisource Asset Management Corp,Financial,Asset Management,Financial Services,5.0,3.0
AAL,USA,American Airlines Group Inc,Services,Major Airlines,Transportation,6,4
AAL,USA,American Airlines Group Inc,Services,Major Airlines,Transportation,6,4
AAMC,Virgin Islands US,Altisource Asset Management Corp,Financial,Asset Management,Financial Services,5,3
AAMC,Virgin Islands US,Altisource Asset Management Corp,Financial,Asset Management,Financial Services,5,3
AAC,USA,AAC Holdings Inc,Healthcare,Specialized Health Services,Health Services,4,3
AAC,USA,AAC Holdings Inc,Healthcare,Specialized Health Services,Health Services,4,3
AA,USA,Alcoa Corp,Basic Materials,Aluminum,Metals & Mining,3,1
AA,USA,Alcoa Corp,Basic Materials,Aluminum,Metals & Mining,3,1
A,USA,Agilent Technologies Inc,Healthcare,Medical Laboratories & Research,Health Services,1,6
A,USA,Agilent Technologies Inc,Healthcare,Medical Laboratories & Research,Health Services,1,6
BGS,USA,B&G Foods Inc,Consumer Goods,Processed & Packaged Goods,Food & Beverage,0,4
BGG,USA,Briggs & Stratton Corp,Industrial Goods,Diversified Machinery,Manufacturing,4,6
BGC,USA,General Cable Corp,Industrial Goods,Industrial Equipment & Components,Manufacturing,6,5
BGCP,USA,BGC Partners Inc,Financial,Investment Brokerage - National,Financial Services,1,5
BGFV,USA,Big 5 Sporting Goods Corp,Services,Sporting Goods Stores,Specialty Retail,2,4
BFAM,USA,Bright Horizons Family Solutions Inc,Services,Personal Services,Diversified Services,0,0
BG,Bermuda,Bunge Ltd,Consumer Goods,Farm Products,Food & Beverage,1,5
BFIN,USA,BankFinancial Corp,Financial,Savings & Loans,Banking,3,5
BF.B,USA,Brown-Forman Corp,Consumer Goods,Beverages - Wineries & Distillers,Food & Beverage,0,2
BF.A,USA,Brown-Forman Corp,Consumer Goods,Beverages - Wineries & Distillers,Food & Beverage,0,2
BELFB,USA,Bel Fuse Inc,Technology,Diversified Electronics,Electronics,3,5
BERY,USA,Berry Global Group Inc,Consumer Goods,Packaging & Containers,Consumer NonDurables,0,1
BEN,USA,Franklin Resources Inc,Financial,Asset Management,Financial Services,0,4
BELFA,USA,Bel Fuse Inc,Technology,Diversified Electronics,Electronics,3,5
BDX,USA,Becton Dickinson and Co,Healthcare,Medical Instruments & Supplies,Health Services,0,6
BECN,USA,Beacon Roofing Supply Inc,Industrial Goods,General Building Materials,Materials & Construction,2,5
BDL,USA,Flanigans Enterprises Inc,Services,Specialty Eateries,Leisure,0,0
BEAV,USA,B/E Aerospace Inc,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,0,1
BDSI,USA,BioDelivery Sciences International Inc,Healthcare,Biotechnology,Drugs,10,4
BEAT,USA,BioTelemetry Inc,Healthcare,Medical Laboratories & Research,Health Services,6,5
BDGE,USA,Bridge Bancorp Inc,Financial,Regional - Northeast Banks,Banking,0,1
BDR,USA,Blonder Tongue Laboratories Inc,Technology,Communication Equipment,Telecommunications,9,5
BDC,USA,Belden Inc,Industrial Goods,Industrial Electrical Equipment,Manufacturing,1,5
BCTF,USA,Bancorp 34 Inc,Financial,Savings & Loans,Banking,1,2
BDBD,USA,Boulder Brands Inc,Consumer Goods,Processed & Packaged Goods,Food & Beverage,3,2
BCPC,USA,Balchem Corp,Basic Materials,Chemicals - Major Diversified,Chemicals,0,2
BCOV,USA,Brightcove Inc,Technology,Application Software,Computer Software & Services,10,5
BCRX,USA,BioCryst Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10,6
BCRH,Bermuda,Blue Capital Reinsurance Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,3,2
BCO,USA,Brinks Co,Services,Security & Protection Services,Diversified Services,3,5
BCOR,USA,Blucora Inc,Technology,Internet Information Providers,Internet,5,5
BCEI,USA,Bonanza Creek Energy Inc,Basic Materials,Independent Oil & Gas,Energy,2,3
BCC,USA,Boise Cascade Co,Industrial Goods,"Lumber,Wood Production",Materials & Construction,0,4
BC,USA,Brunswick Corp,Consumer Goods,"Recreational Goods,Other",Consumer Durables,3,5
BCBP,USA,BCB Bancorp Inc,Financial,Regional - Northeast Banks,Banking,1,4
BBX,USA,BBX Capital Corp,Financial,Property Management,Real Estate,2,5
BBY,USA,Best Buy Co Inc,Services,Electronics Stores,Retail,1,5
BBW,USA,Build-A-Bear Workshop Inc,Services,Toy & Hobby Stores,Specialty Retail,5,3
BBBY,USA,Bed Bath & Beyond Inc,Services,Home Furnishing Stores,Retail,2,7
BBGI,USA,Beasley Broadcast Group Inc,Services,Broadcasting - Radio,Media,0,2
BBSI,USA,Barrett Business Services Inc,Services,Staffing & Outsourcing Services,Diversified Services,1,4
BBRG,USA,Bravo Brio Restaurant Group Inc,Services,Restaurants,Leisure,3,5
BASI,USA,Bioanalytical Systems Inc,Services,Research Services,Diversified Services,6,6
BAX,USA,Baxter International Inc,Healthcare,Medical Instruments & Supplies,Health Services,0,6
BAS,USA,Basic Energy Services Inc,Basic Materials,Oil & Gas Equipment & Services,Energy,8,5
BAMM,USA,Books-A-Million Inc,Services,Sporting Goods Stores,Specialty Retail,3,3
BANF,USA,BancFirst Corp,Financial,Regional - Southwest  Banks,Banking,0,0
BANC,USA,Banc of California Inc,Financial,Regional - Pacific Banks,Banking,2,5
BANR,USA,Banner Corp,Financial,Regional - Mid-Atlantic Banks,Banking,1,3
BAH,USA,Booz Allen Hamilton Holding Corp,Services,Management Services,Diversified Services,0,2
BA,USA,Boeing Co,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,2,6
B,USA,Barnes Group Inc,Industrial Goods,Industrial Equipment & Components,Manufacturing,0,4
BAC,USA,Bank of America Corp,Financial,Money Center Banks,Banking,1,4
AZZ,USA,AZZ Inc,Industrial Goods,Diversified Machinery,Manufacturing,0,3
AZPN,USA,Aspen Technology Inc,Technology,Business Software & Services,Computer Software & Services,1,3
AYR,Bermuda,Aircastle Ltd,Services,Rental & Leasing Services,Diversified Services,0,4
AYI,USA,Acuity Brands Inc,Technology,Diversified Electronics,Electronics,0,2
AZO,USA,Autozone Inc,Services,Auto Parts Stores,Retail,0,0
AYX,USA,Alteryx Inc,Technology,Application Software,Computer Software & Services,2,1
AXTI,USA,AXT Inc,Technology,Semiconductor - Integrated Circuits,Electronics,4,3
AXTA,Bermuda,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,Chemicals,0,2
AXP,USA,American Express Co,Financial,Credit Services,Financial Services,0,4
AXGN,USA,AxoGen Inc,Healthcare,Medical Appliances & Equipment,Health Services,11,7
AXS,Bermuda,AXIS Capital Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,1,4
AXL,USA,American Axle & Manufacturing Holdings Inc,Consumer Goods,Auto Parts,Automotive,2,3
AXR,USA,AMREP Corp,Services,Business Services,Diversified Services,6,4
AXLL,USA,Axiall Corp,Basic Materials,Chemicals - Major Diversified,Chemicals,2,3
AXE,USA,Anixter International Inc,Services,Industrial Equipment Wholesale,Wholesale,1,6
AXDX,USA,Accelerate Diagnostics Inc,Healthcare,Medical Laboratories & Research,Health Services,9,6
AXAS,USA,Abraxas Petroleum Corp,Basic Materials,Independent Oil & Gas,Energy,3,2
AWX,USA,Avalon Holdings Corp,Industrial Goods,Waste Management,Materials & Construction,9,4
AX,USA,Axos Financial,Financial,Savings & Loans,Banking,0,0
AWRE,USA,Aware Inc,Technology,Application Software,Computer Software & Services,3,6
AWK,USA,American Water Works Company Inc,Utilities,Water Utilities,Utilities,0,2
AWI,USA,Armstrong World Industries Inc,Industrial Goods,General Building Materials,Materials & Construction,1,3
AWR,USA,American States Water Co,Utilities,Water Utilities,Utilities,0,2
AVY,USA,Avery Dennison Corp,Consumer Goods,Business Equipment,Consumer Durables,0,4
AWAY,USA,HomeAway Inc,Technology,Application Software,Computer Software & Services,0,3
AVP,USA,Avon Products Inc,Consumer Goods,Personal Products,Consumer NonDurables,7,7
AVT,USA,Avnet Inc,Services,Electronics Wholesale,Wholesale,3,5
AVX,USA,AVX Corp,Technology,Diversified Electronics,Electronics,1,5
AVNW,USA,Aviat Networks Inc,Technology,Communication Equipment,Telecommunications,7,3
AVTR,USA,Avantor Inc,Basic Materials,Specialty Chemicals,Chemicals,1,0
AVLR,USA,Avalara Inc,Technology,Application Software,Computer Software & Services,3,1
AVID,USA,Avid Technology Inc,Technology,Multimedia & Graphics Software,Computer Software & Services,4,6
AVNU,USA,Avenue Financial Holdings Inc,Financial,Regional - Mid-Atlantic Banks,Banking,0,0
AVHI,USA,AV Homes Inc,Industrial Goods,Residential Construction,Materials & Construction,7,3
AVGR,USA,Avinger Inc,Healthcare,Medical Appliances & Equipment,Health Services,6,2
AVD,USA,American Vanguard Corp,Basic Materials,Agricultural Chemicals,Chemicals,0,3
AVEO,USA,Aveo Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,8,4
AVGO,Singapore,Broadcom Ltd,Technology,Semiconductor - Broad Line,Electronics,1,2
AVAV,USA,AeroVironment Inc,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,0,3
AVDL,Ireland,Avadel Pharmaceuticals PLC,Healthcare,Drug Delivery,Drugs,2,1
AVA,USA,Avista Corp,Utilities,Diversified Utilities,Utilities,0,3
AUMN,USA,Golden Minerals Co,Basic Materials,Industrial Metals & Minerals,Metals & Mining,11,6
AUBN,USA,Auburn National Bancorporation Inc,Financial,Regional - Southeast Banks,Banking,0,2
ATW,USA,Atwood Oceanics Inc,Basic Materials,Oil & Gas Drilling & Exploration,Energy,1,3
ATVI,USA,Activision Blizzard Inc,Technology,Multimedia & Graphics Software,Computer Software & Services,3,4
ATRS,USA,Antares Pharma Inc,Healthcare,Medical Instruments & Supplies,Health Services,10,5
ATUS,USA,Altice USA Inc,Services,CATV Systems,Media,1,1
ATRO,USA,Astronics Corp,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,1,3
ATSG,USA,Air Transport Services Group Inc,Services,Air Delivery & Freight Services,Transportation,1,4
ATRC,USA,AtriCure Inc,Healthcare,Medical Instruments & Supplies,Health Services,11,8
ATRI,USA,Atrion Corp,Healthcare,Medical Instruments & Supplies,Health Services,0,4
ATR,USA,Aptargroup Inc,Consumer Goods,Packaging & Containers,Consumer NonDurables,0,3
ATOM,USA,Atomera Inc,Technology,Semiconductor Equipment & Materials,Electronics,5,2
ATNI,USA,ATN International Inc,Technology,Telecom Services - Domestic,Telecommunications,0,6
ATML,USA,Atmel Corp,Technology,Semiconductor - Integrated Circuits,Electronics,2,4
ATO,USA,Atmos Energy Corp,Utilities,Gas Utilities,Utilities,0,2
ATI,USA,Allegheny Technologies Inc,Industrial Goods,Metal Fabrication,Manufacturing,3,5
ATLO,USA,Ames National Corp,Financial,Regional - Northeast Banks,Banking,0,2
ATNY,USA,API Technologies Corp,Technology,Semiconductor - Integrated Circuits,Electronics,5,3
ATLS,USA,Atlas Energy Group LLC,Basic Materials,Independent Oil & Gas,Energy,5,1
ATHN,USA,athenahealth Inc,Technology,Healthcare Information Services,Computer Software & Services,1,3
ATLC,USA,Atlanticus Holdings Corp,Financial,Credit Services,Financial Services,4,5
ATKR,USA,Atkore International Group Inc,Industrial Goods,Industrial Electrical Equipment,Manufacturing,0,0
ATHX,USA,Athersys Inc,Healthcare,Biotechnology,Drugs,11,6
ATGE,USA,Adtalem Global Education Inc,Consumer Goods,-,-,1,4
ATEN,USA,A10 Networks Inc,Technology,Communication Equipment,Telecommunications,7,3
ATEC,USA,Alphatec Holdings Inc,Healthcare,Medical Instruments & Supplies,Health Services,10,5
AT,Canada,Atlantic Power Corp,Utilities,Electric Utilities,Utilities,7,4
ASYS,USA,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,Electronics,7,5
ASRV,USA,Ameriserv Financial Inc,Financial,Regional - Northeast Banks,Banking,0,2
AST,USA,Asterias Biotherapeutics Inc,Healthcare,Biotechnology,Drugs,6,2
ASTE,USA,Astec Industries Inc,Industrial Goods,Farm & Construction Machinery,Manufacturing,1,5
ASTC,USA,Astrotech Corp,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,9,4
ASPN,USA,Aspen Aerogels Inc,Industrial Goods,General Building Materials,Materials & Construction,8,4
ASPS,Luxembourg,Altisource Portfolio Solutions SA,Services,Business Services,Diversified Services,2,3
ASNA,USA,Ascena Retail Group Inc,Services,Apparel Stores,Retail,6,6
ASMB,USA,Assembly Biosciences Inc,Healthcare,Drug Manufacturers - Major,Drugs,10,6
ASGN,USA,On Assignment Inc,Services,Staffing & Outsourcing Services,Diversified Services,0,1
ASH,USA,Ashland Global Holdings Inc,Basic Materials,Chemicals - Major Diversified,Chemicals,0,3
ASFI,USA,Asta Funding Inc,Services,Business Services,Diversified Services,1,3
ASCMA,USA,Ascent Capital Group Inc,Services,Security & Protection Services,Diversified Services,8,6
ARW,USA,Arrow Electronics Inc,Services,Electronics Wholesale,Wholesale,2,5
ASBI,USA,Ameriana Bancorp,Financial,Savings & Loans,Banking,0,0
ASB,USA,Associated Banc-Corp,Financial,Regional - Midwest Banks,Banking,2,3
ASBB,USA,ASB Bancorp Inc,Financial,Regional - Mid-Atlantic Banks,Banking,3,1
ARTX,USA,Arotech Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,5,4
ARTW,USA,Arts Way Manufacturing Co Inc,Industrial Goods,Farm & Construction Machinery,Manufacturing,6,5
ARTNA,USA,Artesian Resources Corp,Utilities,Water Utilities,Utilities,0,2
ARPI,USA,American Residential Properties Inc,Financial,REIT - Diversified,Real Estate,4,3
ARQL,USA,ArQule Inc,Healthcare,Biotechnology,Drugs,10,5
ARRY,USA,Array Biopharma Inc,Healthcare,Biotechnology,Drugs,8,5
ARRS,United Kingdom,Arris International PLC,Technology,Communication Equipment,Telecommunications,2,4
AROC,USA,Archrock Inc,Basic Materials,Oil & Gas Pipelines,Energy,6,4
ARNC,USA,Arconic Inc,Basic Materials,Aluminum,Metals & Mining,5,6
AROW,USA,Arrow Financial Corp,Financial,Regional - Northeast Banks,Banking,0,0
ARNA,USA,Arena Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10,5
ARLP,USA,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals,Metals & Mining,0,3
ARMK,USA,Aramark,Services,Specialty Eateries,Leisure,0,2
ARKR,USA,Ark Restaurants Corp,Services,Restaurants,Leisure,0,4
ARL,USA,American Realty Investors Inc,Financial,Property Management,Real Estate,7,5
ARII,USA,American Railcar Industries Inc,Services,Railroads,Transportation,1,1
ARIA,USA,ARIAD Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,6,4
ARIS,USA,ARI Network Services Inc,Technology,Application Software,Computer Software & Services,1,1
ARGO,Bermuda,Argo Group International Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,1,0
ARES,USA,Ares Management Corp,Financial,Asset Management,Financial Services,1,3
ARDX,USA,Ardelyx Inc,Healthcare,Biotechnology,Drugs,8,5
ARCW,USA,ARC Group Worldwide Inc,Industrial Goods,Metal Fabrication,Manufacturing,7,5
ARCB,USA,ArcBest Corp,Services,Trucking,Transportation,3,5
ARCH,USA,Arch Coal Inc,Basic Materials,Industrial Metals & Minerals,Metals & Mining,5,6
ARC,USA,ARC Document Solutions Inc,Services,Business Services,Diversified Services,5,2
ARAY,USA,Accuray Inc,Healthcare,Medical Appliances & Equipment,Health Services,10,4
ARA,USA,American Renal Associates Holdings Inc,Healthcare,Medical Laboratories & Research,Health Services,0,4
AR,USA,Antero Resources Corp,Basic Materials,Oil & Gas Drilling & Exploration,Energy,6,4
AQUA,USA,Evoqua Water Technologies Corp,N/D,-,-,1,0
AQ,USA,Aquantia Corp,N/D,-,-,2,1
APTV,Jersey,Aptiv PLC,Consumer Goods,Auto Parts,Automotive,0,4
APU,USA,Amerigas Partners LP,Utilities,Gas Utilities,Utilities,1,6
APTO,Canada,Aptose Biosciences Inc,Healthcare,Biotechnology,Drugs,1,0
APT,USA,Alpha Pro Tech Ltd,Industrial Goods,General Building Materials,Materials & Construction,0,0
APRN,USA,Blue Apron Holdings Inc,Services,Catalog & Mail Order Houses,Retail,4,1
APPF,USA,AppFolio Inc,Technology,Application Software,Computer Software & Services,3,2
APOL,USA,Apollo Education Group Inc,Services,Education & Training Services,Diversified Services,2,6
APOG,USA,Apogee Enterprises Inc,Industrial Goods,General Building Materials,Materials & Construction,1,2
APO,USA,Apollo Global Management LLC,Financial,Diversified Investments,Financial Services,2,5
APEN,USA,Apollo Endosurgery Inc,Healthcare,Medical Instruments & Supplies,Health Services,11,7
APFH,USA,Advancepierre Foods Holdings Inc,Consumer Goods,Processed & Packaged Goods,Food & Beverage,0,0
APDN,USA,Applied DNA Sciences Inc,Technology,Security Software & Services,Computer Software & Services,11,3
APLP,USA,Archrock Partners LP,Basic Materials,Oil & Gas Pipelines,Energy,4,2
APH,USA,Amphenol Corp,Technology,Diversified Electronics,Electronics,0,3
APEI,USA,American Public Education Inc,Services,Education & Training Services,Diversified Services,0,6
APC,USA,Anadarko Petroleum Corp,Basic Materials,Independent Oil & Gas,Energy,7,5
APAM,USA,Artisan Partners Asset Management Inc,Financial,Asset Management,Financial Services,1,5
APD,USA,Air Products and Chemicals Inc,Basic Materials,Chemicals - Major Diversified,Chemicals,0,5
APA,USA,Apache Corp,Basic Materials,Independent Oil & Gas,Energy,6,6
AP,USA,Ampco-Pittsburgh Corp,Industrial Goods,Diversified Machinery,Manufacturing,5,4
AOSL,USA,Alpha and Omega Semiconductor Ltd,Technology,Semiconductor - Specialized,Electronics,6,5
AOS,USA,A. O. Smith Corp,Industrial Goods,Industrial Electrical Equipment,Manufacturing,0,4
ANY,Canada,Sphere 3D Corp,Technology,Application Software,Computer Software & Services,3,0
AON,United Kingdom,Aon PLC,Financial,Insurance Brokers,Insurance,0,4
ANTM,USA,Anthem Inc,Healthcare,Health Care Plans,Health Services,0,5
ANSS,USA,ANSYS Inc,Technology,Application Software,Computer Software & Services,0,2
ANTH,USA,Anthera Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,9,3
ANGO,USA,AngioDynamics Inc,Healthcare,Medical Instruments & Supplies,Health Services,4,4
ANIP,USA,ANI Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,5,6
ANIK,USA,Anika Therapeutics Inc,Healthcare,Biotechnology,Drugs,0,2
ANGI,USA,ANGI Homeservices Inc,Technology,Internet Software & Services,Internet,2,1
ANET,USA,Arista Networks Inc,Technology,Diversified Computer Systems,Computer Hardware,0,2
ANDV,USA,Andeavor,Basic Materials,Oil & Gas Refining & Marketing,Energy,2,3
ANF,USA,Abercrombie & Fitch Co,Services,Apparel Stores,Retail,0,6
ANDE,USA,Andersons Inc,Consumer Goods,Farm Products,Food & Beverage,1,3
ANCB,USA,Anchor Bancorp Inc,Financial,Savings & Loans,Banking,3,3
ANAD,USA,ANADIGICS Inc,Technology,Semiconductor - Integrated Circuits,Electronics,5,2
ANAT,USA,American National Insurance Co,Financial,Property & Casualty Insurance,Insurance,0,4
AMWD,USA,American Woodmark Corp,Consumer Goods,Home Furnishings & Fixtures,Consumer Durables,2,1
ANAC,USA,Anacor Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,5,4
